地区,年份,结婚登记(万对),内地居民初婚登记(万人),内地居民再婚登记(万人),离婚登记(万对),粗离婚率(‰),总人口(万人),人口出生率(%),GDP(亿元),全体居民人均可支配收入(元)
北京市,2024年,11.45,14.82,8.08,6.72,3.08,2183,6.09,49670.2,85415
北京市,2023年,13.73,19.52,7.95,5.49,2.51,2186,5.63,47353.7,81752
北京市,2022年,9.13,11.81,6.45,4.42,2.02,2184,5.67,45222.4,77415
北京市,2021年,10.34,13.63,7.04,5.04,2.3,2189,6.35,44350.7,75002
北京市,2020年,11.38,12.43,10.33,8.19,3.77,2189,6.99,38503.6,69434
北京市,2019年,12.9,14.15,11.64,8.38,3.89,2190,8.12,37767,67756
北京市,2018年,13.78,16.92,10.65,7.41,3.43,2192,8.24,35161.4,62361
北京市,2017年,15.15,17.93,12.36,8.06,3.71,2194,9.06,31325.9,57230
北京市,2016年,16.62,20.08,13.17,10.58,4.89,2195,9.32,28438.7,52530
北京市,2015年,16.6,22.95,10.25,8.22,3.79,2188,7.96,26034.1,48458
北京市,2014年,17,25.38,8.63,6.56,3.08,2171,9.75,23577.5,44489
北京市,2013年,16.37,25.16,7.57,6.46,3.06,2125,8.93,21746,40830
北京市,2012年,17.41,28.74,6.08,4.86,2.35,2078,9.05,19568.3,36817
北京市,2011年,17.32,28.84,5.81,4.35,3.45,2024,8.29,17653.3,33176
北京市,2010年,13.8,22.2,5.4,4.4,2.37,1962,7.48,15420.2,29228
北京市,2009年,18.18,30.58,5.77,4.13,,1860,8.06,13335.7,26571
北京市,2008年,14.75,24.63,4.87,3.76,,1771,8.17,12167.6,24371
北京市,2007年,11.79,19.34,4.25,3.66,,1676,8.32,10730.4,21458
北京市,2006年,17.1,29.4,4.8,3.6,,1601,6.26,8618.9,19296
北京市,2005年,9.7,15.9,3.4,3.4,,1538,6.29,7327.4,16853
北京市,2004年,12.64,21.44,3.65,3.3,,1493,6.1,6424.1,
北京市,2003年,9.4,15.9,2.7,3.1,,1456,5.1,5400.1,
北京市,2002年,7.6,12.6,2.5,2.8,,1423,6.6,4634.9,
北京市,2001年,7.94,13.33,2.38,2.77,,1385,6.1,3935.4,
天津市,2024年,6.04,9.72,2.37,4.36,3.2,1364,4.99,17931.3,53581
天津市,2023年,8.38,13.69,3.06,4.94,3.62,1364,4.47,17211.8,51271
